Categoría,Cantidad,Referencias,Valor,LCSC Part #,Footprint
Capacitors,3,"C1,C5,C26",220uF,C96175,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,3,"C2,C9,C23",100nF,C307478,0603_CAP
Capacitors,4,"C4,C6,C24,C25",100nF,C694249,0603_CAP
Capacitors,2,"C7,C8",22pF,C129626,0603_CAP
Capacitors,1,C21,470uF,C2836436,CAP SMD 10.5X10MM ALUMINUM 470UF/35V
Capacitors,1,C22,47uF,C250030,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,1,C34,10uF,C304002,1206_CAP
Resistors,2,"R1,R6",1k,C218388,0805_RES
Resistors,2,"R2,R7",220,C666877,0603_RES
Resistors,4,"R3,R5,R8,R63",10k,C3016734,0805_RES
Resistors,3,"R4,R30,R31",10k,C269701,0603_RES
Resistors,3,"R10,R35,R36",330,C23228,0603_RES
Resistors,1,R11,4.7k,C23162,0603_RES
Resistors,8,"R13,R14,R15,R16,R21,R22,R23,R24",4.7K,C23162,0603_RES
Resistors,1,R17,330,C22962,0603_RES
Resistors,3,"R25,R26,R28",680,C23228,0603_RES
Resistors,1,R33,2.2K,C294652,0603_RES
Resistors,5,"R39,R40,R41,R42,R64",1k,C269704,0603_RES
Resistors,1,R84,470,C328426,0603_RES
Integrated Circuits,2,"U1,U26",PC817XI1J,C3025164,PC817XI1J
Integrated Circuits,1,U2,ESP-32s,C82899,ESP-32S
Integrated Circuits,1,U3,PC817X3CSP9F,C191932,PC817XI1J
Integrated Circuits,1,U5,MC7812BDTRKG,C126398,MC7812BDTRKG
Integrated Circuits,2,"U7,U8",TS78M05CP,C131137,TS78M05CP
Integrated Circuits,1,U9,LD1117S33,C35879,SOT230P700X180-4
Integrated Circuits,1,U10,DS3231SN,C9866,SOIC127P1032X265-16N
Integrated Circuits,1,U11,"LM2576-3,3",C194472,TO170P1410X464-6
Integrated Circuits,1,U13,CH340C/G,C84681,SO16
Integrated Circuits,1,U14,LM358N,C434570,DIL08
Integrated Circuits,1,U18,AT24C512B,C81193,SO8
Transistors,2,"Q1,Q2","PMBT3904,215",C8667,SOT23-3
Transistors,2,"Q3,Q10",FQD11P06TM,C879148,DPAK-N
Transistors,2,"Q04,Q05",LED smd 0603,C84268,LEDC1608X60
Diodes,1,D01,1n4007,C727081,SMA
Diodes,2,"D3,D4",1N4148W,C109203,SOD123
Diodes,2,"D28,D29",SS36A,C698867,DIOM5226X230N
Diodes,1,D33,1N4148W,C84367,SOD123
Miscellaneous,3,"12V,FUENTE,OUT2   OUT3",TBLOCK-M2,C474894,TBLOCK-M2
Miscellaneous,1,BAT1,3V,C964750,BAT 3V EG
Miscellaneous,2,"BTN1,BTN2",RST,C561519,BUTTON SMD 2P
Miscellaneous,4,"DHT22,ENCODER FC-03,PH-4502C,RELAY",TBLOCK-M3,C474882,TBLOCK-M3
Miscellaneous,1,F1,2A,C182308,FUSE SMD
Miscellaneous,1,HC-SR04,TBLOCK-I4,C918122,TBLOCK-M4
Miscellaneous,2,"JP5,JP6",JUMPER,C376075,CONN-SIL2
Miscellaneous,1,L,100uh,C169389,SMD 12.5X12.5X5MM
Miscellaneous,4,"L01,L02,L03,QO3",LED smd 0603,C84268,LEDC1608X60
Miscellaneous,1,LCD,CONN-H4,C2691448,CONN-SIL4
Miscellaneous,1,PINES LIBRES,CONN-SIL9,C2894932,CONN-SIL9
Miscellaneous,1,PW,LED-RED,C375458,LEDC2012X120
Miscellaneous,1,RELAY1,5 Vcc. 10 Amp,C35449,117211503
Miscellaneous,1,RV4,10K,C118954,PRE-SQ1
Miscellaneous,1,ULN2803AG,ULN2803,C2758014,SOP18
Miscellaneous,1,USB-MODEM,A-USB-A_SMT-R,C42595,AUSBASMTR
Miscellaneous,1,USB-TIPO B-MICRO-SMD,MICROUSBTYPB_SMD,C132563,USB TYPE B EG
Miscellaneous,1,X1,12Mhz,C240957,XTAL
